Tele EF EB theta(degree) phi(degree)
   0 14 15       31.0758     175.167
   0 14 16       31.1043     174.497
   0 14 17       31.1362     173.828
   0 14 18       31.1716     173.161
   0 14 19       31.2104     172.494
   0 14 20       31.2527     171.830
   0 14 21       31.2984     171.167
   0 14 22       31.3474     170.506
   0 14 23       31.3998     169.847
   0 14 24       31.4555     169.191
   0 14 25       31.5146     168.537
   0 14 26       31.5769     167.885
   0 14 27       31.6425     167.237
   0 14 28       31.7113     166.591
   0 14 29       31.7833     165.948
   0 14 30       31.8584     165.309
   0 14 31       31.9367     164.673
   0 15  0       31.4102     185.176
   0 15  1       31.3872     184.518
   0 15  2       31.3675     183.858
   0 15  3       31.3512     183.197
   0 15  4       31.3383     182.535
   0 15  5       31.3287     181.872
   0 15  6       31.3226     181.208
   0 15  7       31.3199     180.543
   0 15  8       31.3206     179.877
   0 15  9       31.3248     179.212
   0 15 10       31.3323     178.546
   0 15 11       31.3434     177.880
   0 15 12       31.3579     177.214
   0 15 13       31.3758     176.548
   0 15 14       31.3971     175.883
   0 15 15       31.4219     175.219
   0 15 16       31.4502     174.555
   0 15 17       31.4818     173.893
   0 15 18       31.5169     173.232
   0 15 19       31.5553     172.572
   0 15 20       31.5971     171.914
   0 15 21       31.6423     171.257
   0 15 22       31.6908     170.603
   0 15 23       31.7427     169.950
   0 15 24       31.7978     169.300
   0 15 25       31.8562     168.652
   0 15 26       31.9178     168.006
   0 15 27       31.9827     167.364
   0 15 28       32.0507     166.724
   0 15 29       32.1219     166.087
   0 15 30       32.1962     165.453
   0 15 31       32.2735     164.822
   0 16  0       31.7546     185.129
   0 16  1       31.7320     184.477
   0 16  2       31.7127     183.824
   0 16  3       31.6968     183.169
   0 16  4       31.6842     182.514
   0 16  5       31.6749     181.857
   0 16  6       31.6689     181.199
   0 16  7       31.6664     180.541
   0 16  8       31.6672     179.882
   0 16  9       31.6715     179.223
   0 16 10       31.6791     178.563
   0 16 11       31.6901     177.904
   0 16 12       31.7045     177.244
   0 16 13       31.7223     176.585
   0 16 14       31.7435     175.927
   0 16 15       31.7681     175.269
   0 16 16       31.7961     174.612
   0 16 17       31.8275     173.956
   0 16 18       31.8622     173.301
   0 16 19       31.9002     172.648
   0 16 20       31.9416     171.996
   0 16 21       31.9863     171.346
   0 16 22       32.0343     170.697
   0 16 23       32.0856     170.051
   0 16 24       32.1401     169.406
   0 16 25       32.1979     168.765
   0 16 26       32.2588     168.125
   0 16 27       32.3230     167.488
   0 16 28       32.3902     166.854
   0 16 29       32.4606     166.223
   0 16 30       32.5340     165.594
   0 16 31       32.6105     164.969
   0 17  0       32.0990     185.082
   0 17  1       32.0768     184.437
   0 17  2       32.0579     183.790
   0 17  3       32.0423     183.142
   0 17  4       32.0300     182.493
   0 17  5       32.0210     181.842
   0 17  6       32.0153     181.191
   0 17  7       32.0129     180.539
   0 17  8       32.0138     179.887
   0 17  9       32.0181     179.234
   0 17 10       32.0258     178.581
   0 17 11       32.0368     177.928
   0 17 12       32.0511     177.275
   0 17 13       32.0689     176.622
   0 17 14       32.0899     175.970
   0 17 15       32.1143     175.318
   0 17 16       32.1420     174.668
   0 17 17       32.1731     174.018
   0 17 18       32.2075     173.370
   0 17 19       32.2452     172.722
   0 17 20       32.2861     172.077
   0 17 21       32.3304     171.432
   0 17 22       32.3779     170.790
   0 17 23       32.4286     170.150
   0 17 24       32.4825     169.511
   0 17 25       32.5397     168.875
   0 17 26       32.5999     168.241
   0 17 27       32.6634     167.610
   0 17 28       32.7299     166.982
   0 17 29       32.7995     166.356
   0 17 30       32.8721     165.733
   0 17 31       32.9477     165.113
   0 18  0       32.4433     185.037
   0 18  1       32.4216     184.398
   0 18  2       32.4031     183.757
   0 18  3       32.3878     183.115
   0 18  4       32.3758     182.472
   0 18  5       32.3670     181.828
   0 18  6       32.3615     181.183
   0 18  7       32.3593     180.537
   0 18  8       32.3604     179.891
   0 18  9       32.3648     179.245
   0 18 10       32.3724     178.598
   0 18 11       32.3834     177.951
   0 18 12       32.3977     177.304
   0 18 13       32.4153     176.658
   0 18 14       32.4362     176.012
   0 18 15       32.4604     175.367
   0 18 16       32.4879     174.722
   0 18 17       32.5187     174.079
   0 18 18       32.5528     173.437
   0 18 19       32.5901     172.795
   0 18 20       32.6307     172.156
   0 18 21       32.6744     171.517
   0 18 22       32.7214     170.881
   0 18 23       32.7716     170.247
   0 18 24       32.8250     169.614
   0 18 25       32.8815     168.984
   0 18 26       32.9411     168.356
   0 18 27       33.0038     167.730
   0 18 28       33.0696     167.107
   0 18 29       33.1384     166.487
   0 18 30       33.2102     165.869
   0 18 31       33.2850     165.255
   0 19  0       32.7876     184.992
   0 19  1       32.7663     184.359
   0 19  2       32.7482     183.725
   0 19  3       32.7332     183.089
   0 19  4       32.7215     182.452
   0 19  5       32.7130     181.814
   0 19  6       32.7077     181.175
   0 19  7       32.7057     180.535
   0 19  8       32.7069     179.895
   0 19  9       32.7113     179.255
   0 19 10       32.7190     178.615
   0 19 11       32.7300     177.974
   0 19 12       32.7443     177.333
   0 19 13       32.7618     176.693
   0 19 14       32.7825     176.054
   0 19 15       32.8065     175.414
   0 19 16       32.8338     174.776
   0 19 17       32.8643     174.139
   0 19 18       32.8980     173.502
   0 19 19       32.9350     172.867
   0 19 20       32.9751     172.233
   0 19 21       33.0185     171.601
   0 19 22       33.0650     170.970
   0 19 23       33.1146     170.342
   0 19 24       33.1674     169.715
   0 19 25       33.2233     169.090
   0 19 26       33.2823     168.468
   0 19 27       33.3443     167.848
   0 19 28       33.4093     167.230
   0 19 29       33.4774     166.615
   0 19 30       33.5484     166.003
   0 19 31       33.6223     165.394
   0 20  0       33.1317     184.949
   0 20  1       33.1109     184.321
   0 20  2       33.0932     183.693
   0 20  3       33.0786     183.063
   0 20  4       33.0671     182.432
   0 20  5       33.0589     181.800
   0 20  6       33.0538     181.167
   0 20  7       33.0519     180.534
   0 20  8       33.0532     179.900
   0 20  9       33.0578     179.265
   0 20 10       33.0655     178.631
   0 20 11       33.0765     177.996
   0 20 12       33.0907     177.362
   0 20 13       33.1081     176.728
   0 20 14       33.1287     176.094
   0 20 15       33.1525     175.461
   0 20 16       33.1796     174.829
   0 20 17       33.2098     174.197
   0 20 18       33.2432     173.567
   0 20 19       33.2798     172.937
   0 20 20       33.3196     172.309
   0 20 21       33.3625     171.683
   0 20 22       33.4085     171.058
   0 20 23       33.4576     170.435
   0 20 24       33.5098     169.814
   0 20 25       33.5651     169.195
   0 20 26       33.6235     168.578
   0 20 27       33.6848     167.963
   0 20 28       33.7491     167.351
   0 20 29       33.8164     166.742
   0 20 30       33.8866     166.135
   0 20 31       33.9597     165.530
   0 21  0       33.4758     184.906
   0 21  1       33.4554     184.284
   0 21  2       33.4380     183.662
   0 21  3       33.4238     183.037
   0 21  4       33.4126     182.412
   0 21  5       33.4046     181.786
   0 21  6       33.3997     181.159
   0 21  7       33.3980     180.532
   0 21  8       33.3995     179.904
   0 21  9       33.4041     179.276
   0 21 10       33.4119     178.647
   0 21 11       33.4228     178.018
   0 21 12       33.4370     177.390
   0 21 13       33.4543     176.762
   0 21 14       33.4748     176.134
   0 21 15       33.4984     175.507
   0 21 16       33.5252     174.880
   0 21 17       33.5552     174.255
   0 21 18       33.5883     173.630
   0 21 19       33.6246     173.006
   0 21 20       33.6639     172.384
   0 21 21       33.7064     171.763
   0 21 22       33.7519     171.144
   0 21 23       33.8005     170.527
   0 21 24       33.8522     169.911
   0 21 25       33.9069     169.298
   0 21 26       33.9646     168.686
   0 21 27       34.0253     168.077
   0 21 28       34.0889     167.470
   0 21 29       34.1554     166.865
   0 21 30       34.2249     166.264
   0 21 31       34.2972     165.665
   0 22  0       33.8198     184.864
   0 22  1       33.7997     184.248
   0 22  2       33.7827     183.631
   0 22  3       33.7688     183.013
   0 22  4       33.7580     182.393
   0 22  5       33.7502     181.773
   0 22  6       33.7455     181.152
   0 22  7       33.7440     180.530
   0 22  8       33.7456     179.908
   0 22  9       33.7503     179.286
   0 22 10       33.7581     178.663
   0 22 11       33.7690     178.040
   0 22 12       33.7831     177.418
   0 22 13       33.8003     176.795
   0 22 14       33.8207     176.173
   0 22 15       33.8442     175.552
   0 22 16       33.8708     174.931
   0 22 17       33.9005     174.311
   0 22 18       33.9333     173.692
   0 22 19       33.9692     173.074
   0 22 20       34.0082     172.458
   0 22 21       34.0502     171.842
   0 22 22       34.0953     171.229
   0 22 23       34.1434     170.617
   0 22 24       34.1945     170.007
   0 22 25       34.2486     169.398
   0 22 26       34.3057     168.792
   0 22 27       34.3657     168.188
   0 22 28       34.4286     167.586
   0 22 29       34.4944     166.987
   0 22 30       34.5631     166.390
   0 22 31       34.6346     165.796
   0 23  0       34.1635     184.822
   0 23  1       34.1439     184.212
   0 23  2       34.1273     183.601
   0 23  3       34.1137     182.988
   0 23  4       34.1031     182.374
   0 23  5       34.0956     181.760
   0 23  6       34.0912     181.144
   0 23  7       34.0898     180.529
   0 23  8       34.0915     179.912
   0 23  9       34.0963     179.295
   0 23 10       34.1041     178.678
   0 23 11       34.1151     178.061
   0 23 12       34.1291     177.444
   0 23 13       34.1462     176.828
   0 23 14       34.1665     176.212
   0 23 15       34.1898     175.596
   0 23 16       34.2161     174.981
   0 23 17       34.2456     174.366
   0 23 18       34.2781     173.753
   0 23 19       34.3137     173.141
   0 23 20       34.3523     172.530
   0 23 21       34.3939     171.920
   0 23 22       34.4385     171.312
   0 23 23       34.4861     170.705
   0 23 24       34.5367     170.100
   0 23 25       34.5902     169.497
   0 23 26       34.6467     168.896
   0 23 27       34.7061     168.298
   0 23 28       34.7683     167.701
   0 23 29       34.8334     167.107
   0 23 30       34.9013     166.515
   0 23 31       34.9720     165.926
   0 24  0       34.5071     184.782
   0 24  1       34.4879     184.177
   0 24  2       34.4717     183.571
   0 24  3       34.4584     182.964
   0 24  4       34.4481     182.356
   0 24  5       34.4408     181.747
   0 24  6       34.4366     181.137
   0 24  7       34.4354     180.527
   0 24  8       34.4372     179.916
   0 24  9       34.4420     179.305
   0 24 10       34.4499     178.694
   0 24 11       34.4609     178.082
   0 24 12       34.4749     177.471
   0 24 13       34.4919     176.860
   0 24 14       34.5120     176.249
   0 24 15       34.5352     175.639
   0 24 16       34.5613     175.030
   0 24 17       34.5905     174.421
   0 24 18       34.6227     173.813
   0 24 19       34.6580     173.206
   0 24 20       34.6962     172.601
   0 24 21       34.7374     171.996
   0 24 22       34.7816     171.393
   0 24 23       34.8287     170.792
   0 24 24       34.8788     170.193
   0 24 25       34.9317     169.595
   0 24 26       34.9876     168.999
   0 24 27       35.0463     168.405
   0 24 28       35.1079     167.814
   0 24 29       35.1722     167.224
   0 24 30       35.2394     166.637
   0 24 31       35.3093     166.053
   0 25  0       34.8505     184.742
   0 25  1       34.8317     184.143
   0 25  2       34.8158     183.542
   0 25  3       34.8029     182.940
   0 25  4       34.7929     182.338
   0 25  5       34.7858     181.734
   0 25  6       34.7818     181.130
   0 25  7       34.7807     180.525
   0 25  8       34.7827     179.920
   0 25  9       34.7876     179.314
   0 25 10       34.7955     178.709
   0 25 11       34.8065     178.103
   0 25 12       34.8204     177.497
   0 25 13       34.8374     176.891
   0 25 14       34.8574     176.286
   0 25 15       34.8803     175.682
   0 25 16       34.9063     175.077
   0 25 17       34.9353     174.474
   0 25 18       34.9672     173.872
   0 25 19       35.0021     173.270
   0 25 20       35.0400     172.670
   0 25 21       35.0808     172.071
   0 25 22       35.1245     171.473
   0 25 23       35.1711     170.877
   0 25 24       35.2207     170.283
   0 25 25       35.2731     169.690
   0 25 26       35.3283     169.100
   0 25 27       35.3864     168.511
   0 25 28       35.4473     167.924
   0 25 29       35.5110     167.340
   0 25 30       35.5774     166.758
   0 25 31       35.6466     166.178
   0 26  0       35.1936     184.703
   0 26  1       35.1752     184.109
   0 26  2       35.1597     183.514
   0 26  3       35.1471     182.917
   0 26  4       35.1374     182.320
   0 26  5       35.1306     181.722
   0 26  6       35.1267     181.123
   0 26  7       35.1258     180.524
   0 26  8       35.1279     179.924
   0 26  9       35.1329     179.324
