Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0 12 13       30.3363         0.1238       176.431        0.392
   0 12 14       30.3582         0.1228       175.746        0.394
   0 12 15       30.3836         0.1218       175.061        0.396
   0 12 16       30.4126         0.1207       174.378        0.398
   0 12 17       30.4452         0.1215       173.695        0.400
   0 12 18       30.4813         0.1223       173.014        0.402
   0 12 19       30.5209         0.1231       172.335        0.403
   0 12 20       30.5641         0.1238       171.657        0.405
   0 12 21       30.6107         0.1245       170.981        0.406
   0 12 22       30.6609         0.1252       170.307        0.408
   0 12 23       30.7144         0.1258       169.636        0.409
   0 12 24       30.7714         0.1264       168.967        0.410
   0 12 25       30.8318         0.1270       168.300        0.411
   0 12 26       30.8956         0.1276       167.636        0.411
   0 12 27       30.9626         0.1281       166.976        0.412
   0 12 28       31.0330         0.1286       166.318        0.413
   0 12 29       31.1067         0.1290       165.663        0.413
   0 12 30       31.1835         0.1295       165.012        0.413
   0 12 31       31.2636         0.1299       164.365        0.413
   0 13  0       30.7216         0.1336       185.273        0.352
   0 13  1       30.6977         0.1330       184.602        0.353
   0 13  2       30.6772         0.1324       183.929        0.357
   0 13  3       30.6601         0.1317       183.255        0.360
   0 13  4       30.6466         0.1310       182.580        0.363
   0 13  5       30.6365         0.1303       181.903        0.366
   0 13  6       30.6300         0.1295       181.225        0.369
   0 13  7       30.6269         0.1287       180.547        0.372
   0 13  8       30.6274         0.1279       179.868        0.375
   0 13  9       30.6314         0.1271       179.189        0.378
   0 13 10       30.6389         0.1262       178.509        0.380
   0 13 11       30.6500         0.1253       177.829        0.383
   0 13 12       30.6646         0.1244       177.150        0.385
   0 13 13       30.6827         0.1234       176.471        0.388
   0 13 14       30.7044         0.1224       175.793        0.390
   0 13 15       30.7297         0.1214       175.115        0.392
   0 13 16       30.7584         0.1204       174.438        0.394
   0 13 17       30.7907         0.1210       173.763        0.396
   0 13 18       30.8264         0.1218       173.088        0.398
   0 13 19       30.8656         0.1225       172.415        0.399
   0 13 20       30.9083         0.1233       171.744        0.401
   0 13 21       30.9545         0.1239       171.075        0.402
   0 13 22       31.0041         0.1246       170.408        0.403
   0 13 23       31.0570         0.1253       169.743        0.404
   0 13 24       31.1134         0.1259       169.080        0.405
   0 13 25       31.1731         0.1264       168.420        0.406
   0 13 26       31.2362         0.1270       167.762        0.407
   0 13 27       31.3025         0.1275       167.107        0.408
   0 13 28       31.3721         0.1280       166.456        0.408
   0 13 29       31.4449         0.1284       165.807        0.409
   0 13 30       31.5209         0.1289       165.162        0.409
   0 13 31       31.6000         0.1293       164.520        0.409
   0 14  0       31.0659         0.1331       185.224        0.348
   0 14  1       31.0424         0.1325       184.559        0.350
   0 14  2       31.0223         0.1319       183.893        0.353
   0 14  3       31.0057         0.1312       183.226        0.356
   0 14  4       30.9924         0.1305       182.557        0.360
   0 14  5       30.9826         0.1298       181.887        0.363
   0 14  6       30.9763         0.1290       181.217        0.366
   0 14  7       30.9734         0.1283       180.545        0.369
   0 14  8       30.9740         0.1275       179.873        0.371
   0 14  9       30.9780         0.1266       179.200        0.374
   0 14 10       30.9856         0.1258       178.528        0.377
   0 14 11       30.9967         0.1249       177.855        0.379
   0 14 12       31.0112         0.1240       177.182        0.381
   0 14 13       31.0292         0.1230       176.510        0.384
   0 14 14       31.0508         0.1221       175.838        0.386
   0 14 15       31.0758         0.1211       175.167        0.388
   0 14 16       31.1043         0.1201       174.497        0.390
   0 14 17       31.1362         0.1205       173.828        0.392
   0 14 18       31.1716         0.1213       173.161        0.393
   0 14 19       31.2104         0.1220       172.494        0.395
   0 14 20       31.2527         0.1227       171.830        0.396
   0 14 21       31.2984         0.1234       171.167        0.398
   0 14 22       31.3474         0.1241       170.506        0.399
   0 14 23       31.3998         0.1247       169.847        0.400
   0 14 24       31.4555         0.1253       169.191        0.401
   0 14 25       31.5146         0.1259       168.537        0.402
   0 14 26       31.5769         0.1264       167.885        0.403
   0 14 27       31.6425         0.1269       167.237        0.404
   0 14 28       31.7113         0.1274       166.591        0.404
   0 14 29       31.7833         0.1279       165.948        0.405
   0 14 30       31.8584         0.1283       165.309        0.405
   0 14 31       31.9367         0.1287       164.673        0.405
   0 15  0       31.4102         0.1326       185.176        0.345
   0 15  1       31.3872         0.1320       184.518        0.347
   0 15  2       31.3675         0.1314       183.858        0.350
