Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0 15 28       31.8342         0.5033       165.644        1.674
   0 15 29       31.9110         0.4957       165.005        1.676
   0 15 30       31.9910         0.4880       164.369        1.678
   0 15 31       32.0740         0.4803       163.736        1.679
   0 16  0       31.3951         0.6763       184.252        1.403
   0 16  1       31.3768         0.6719       183.590        1.418
   0 16  2       31.3618         0.6673       182.927        1.432
   0 16  3       31.3502         0.6626       182.263        1.446
   0 16  4       31.3421         0.6577       181.597        1.460
   0 16  5       31.3373         0.6526       180.931        1.473
   0 16  6       31.3361         0.6474       180.264        1.486
   0 16  7       31.3382         0.6421       179.597        1.498
   0 16  8       31.3439         0.6366       178.929        1.510
   0 16  9       31.3529         0.6310       178.262        1.522
   0 16 10       31.3655         0.6252       177.594        1.533
   0 16 11       31.3815         0.6193       176.926        1.544
   0 16 12       31.4010         0.6133       176.259        1.554
   0 16 13       31.4239         0.6071       175.593        1.564
   0 16 14       31.4503         0.6009       174.927        1.573
   0 16 15       31.4801         0.5945       174.263        1.582
   0 16 16       31.5134         0.5880       173.599        1.591
   0 16 17       31.5500         0.5814       172.937        1.599
   0 16 18       31.5901         0.5747       172.276        1.606
   0 16 19       31.6336         0.5678       171.617        1.614
   0 16 20       31.6804         0.5609       170.960        1.620
   0 16 21       31.7306         0.5540       170.304        1.626
   0 16 22       31.7841         0.5469       169.651        1.632
   0 16 23       31.8409         0.5397       169.000        1.637
   0 16 24       31.9010         0.5325       168.352        1.642
   0 16 25       31.9643         0.5252       167.706        1.646
   0 16 26       32.0308         0.5178       167.063        1.650
   0 16 27       32.1005         0.5104       166.423        1.653
   0 16 28       32.1734         0.5030       165.786        1.656
   0 16 29       32.2493         0.4954       165.152        1.659
   0 16 30       32.3284         0.4879       164.521        1.660
   0 16 31       32.4105         0.4803       163.894        1.662
   0 17  0       31.7411         0.6735       184.213        1.390
   0 17  1       31.7232         0.6691       183.558        1.405
   0 17  2       31.7085         0.6646       182.901        1.418
   0 17  3       31.6972         0.6599       182.244        1.432
   0 17  4       31.6893         0.6551       181.585        1.445
   0 17  5       31.6848         0.6501       180.925        1.458
   0 17  6       31.6837         0.6450       180.265        1.471
   0 17  7       31.6859         0.6397       179.604        1.483
