Tele EF EB theta(degree) phi(degree)
   0 20  4       32.7308     181.549
   0 20  5       32.7269     180.909
   0 20  6       32.7262     180.267
   0 20  7       32.7288     179.626
   0 20  8       32.7346     178.984
   0 20  9       32.7437     178.342
   0 20 10       32.7562     177.699
   0 20 11       32.7719     177.058
   0 20 12       32.7908     176.416
   0 20 13       32.8131     175.775
   0 20 14       32.8386     175.135
   0 20 15       32.8674     174.495
   0 20 16       32.8994     173.857
   0 20 17       32.9347     173.219
   0 20 18       32.9732     172.583
   0 20 19       33.0149     171.948
   0 20 20       33.0598     171.315
   0 20 21       33.1078     170.684
   0 20 22       33.1591     170.055
   0 20 23       33.2134     169.427
   0 20 24       33.2709     168.802
   0 20 25       33.3315     168.179
   0 20 26       33.3951     167.559
   0 20 27       33.4617     166.941
   0 20 28       33.5314     166.326
   0 20 29       33.6040     165.714
   0 20 30       33.6795     165.104
   0 20 31       33.7579     164.498
   0 21  0       33.1247     184.067
   0 21  1       33.1082     183.437
   0 21  2       33.0949     182.805
   0 21  3       33.0847     182.172
   0 21  4       33.0778     181.538
   0 21  5       33.0740     180.903
   0 21  6       33.0735     180.268
   0 21  7       33.0762     179.633
   0 21  8       33.0821     178.997
   0 21  9       33.0913     178.361
   0 21 10       33.1036     177.725
   0 21 11       33.1193     177.089
   0 21 12       33.1381     176.453
   0 21 13       33.1602     175.818
   0 21 14       33.1855     175.184
   0 21 15       33.2140     174.550
   0 21 16       33.2458     173.918
   0 21 17       33.2807     173.286
   0 21 18       33.3188     172.656
   0 21 19       33.3601     172.027
   0 21 20       33.4046     171.400
   0 21 21       33.4521     170.775
   0 21 22       33.5028     170.151
   0 21 23       33.5566     169.529
   0 21 24       33.6134     168.910
   0 21 25       33.6733     168.292
   0 21 26       33.7363     167.677
   0 21 27       33.8022     167.065
   0 21 28       33.8710     166.455
   0 21 29       33.9428     165.848
   0 21 30       34.0175     165.244
   0 21 31       34.0951     164.643
   0 22  0       33.4704     184.032
   0 22  1       33.4543     183.408
   0 22  2       33.4412     182.782
   0 22  3       33.4314     182.155
   0 22  4       33.4247     181.527
   0 22  5       33.4211     180.898
   0 22  6       33.4207     180.269
   0 22  7       33.4235     179.639
   0 22  8       33.4295     179.009
   0 22  9       33.4386     178.379
   0 22 10       33.4510     177.749
   0 22 11       33.4666     177.119
   0 22 12       33.4853     176.490
   0 22 13       33.5072     175.861
   0 22 14       33.5323     175.232
   0 22 15       33.5606     174.605
   0 22 16       33.5921     173.978
   0 22 17       33.6267     173.352
   0 22 18       33.6644     172.728
   0 22 19       33.7053     172.105
   0 22 20       33.7493     171.483
   0 22 21       33.7964     170.864
   0 22 22       33.8465     170.245
   0 22 23       33.8997     169.629
   0 22 24       33.9559     169.015
   0 22 25       34.0152     168.403
   0 22 26       34.0774     167.794
   0 22 27       34.1426     167.186
   0 22 28       34.2107     166.582
   0 22 29       34.2817     165.980
   0 22 30       34.3555     165.381
   0 22 31       34.4322     164.784
   0 23  0       33.8159     183.998
   0 23  1       33.8001     183.379
   0 23  2       33.7874     182.759
   0 23  3       33.7778     182.138
   0 23  4       33.7714     181.516
   0 23  5       33.7680     180.893
   0 23  6       33.7677     180.270
   0 23  7       33.7706     179.646
   0 23  8       33.7767     179.022
   0 23  9       33.7859     178.398
   0 23 10       33.7982     177.773
   0 23 11       33.8137     177.149
   0 23 12       33.8323     176.526
   0 23 13       33.8541     175.903
   0 23 14       33.8790     175.280
   0 23 15       33.9071     174.658
   0 23 16       33.9382     174.037
   0 23 17       33.9725     173.417
   0 23 18       34.0099     172.798
   0 23 19       34.0504     172.181
   0 23 20       34.0939     171.565
   0 23 21       34.1405     170.951
   0 23 22       34.1901     170.338
   0 23 23       34.2427     169.727
   0 23 24       34.2984     169.119
   0 23 25       34.3570     168.512
   0 23 26       34.4185     167.908
   0 23 27       34.4830     167.306
   0 23 28       34.5503     166.706
   0 23 29       34.6205     166.109
   0 23 30       34.6936     165.515
   0 23 31       34.7694     164.924
   0 24  0       34.1613     183.965
   0 24  1       34.1458     183.351
   0 24  2       34.1335     182.737
   0 24  3       34.1241     182.121
   0 24  4       34.1179     181.505
   0 24  5       34.1147     180.888
   0 24  6       34.1146     180.270
   0 24  7       34.1176     179.652
   0 24  8       34.1237     179.034
   0 24  9       34.1329     178.416
   0 24 10       34.1452     177.797
   0 24 11       34.1607     177.179
   0 24 12       34.1792     176.561
   0 24 13       34.2008     175.944
   0 24 14       34.2255     175.327
   0 24 15       34.2533     174.710
   0 24 16       34.2842     174.095
   0 24 17       34.3182     173.481
   0 24 18       34.3552     172.868
   0 24 19       34.3953     172.256
   0 24 20       34.4384     171.645
   0 24 21       34.4845     171.036
   0 24 22       34.5336     170.429
   0 24 23       34.5857     169.824
   0 24 24       34.6407     169.220
   0 24 25       34.6987     168.619
   0 24 26       34.7596     168.020
   0 24 27       34.8233     167.423
   0 24 28       34.8899     166.828
   0 24 29       34.9593     166.236
   0 24 30       35.0316     165.647
   0 24 31       35.1065     165.061
   0 25  0       34.5064     183.932
   0 25  1       34.4914     183.324
   0 25  2       34.4793     182.715
   0 25  3       34.4702     182.105
   0 25  4       34.4642     181.494
   0 25  5       34.4612     180.883
   0 25  6       34.4613     180.271
   0 25  7       34.4644     179.659
   0 25  8       34.4705     179.046
   0 25  9       34.4798     178.433
   0 25 10       34.4921     177.821
   0 25 11       34.5074     177.208
   0 25 12       34.5258     176.596
   0 25 13       34.5473     175.984
   0 25 14       34.5718     175.372
   0 25 15       34.5994     174.762
   0 25 16       34.6301     174.152
   0 25 17       34.6637     173.543
   0 25 18       34.7004     172.936
   0 25 19       34.7401     172.329
   0 25 20       34.7827     171.724
   0 25 21       34.8284     171.121
   0 25 22       34.8770     170.519
   0 25 23       34.9285     169.919
   0 25 24       34.9829     169.320
   0 25 25       35.0403     168.724
   0 25 26       35.1005     168.130
   0 25 27       35.1635     167.538
   0 25 28       35.2294     166.948
   0 25 29       35.2981     166.361
   0 25 30       35.3695     165.777
   0 25 31       35.4436     165.195
   0 26  0       34.8514     183.899
   0 26  1       34.8366     183.297
   0 26  2       34.8249     182.694
   0 26  3       34.8161     182.089
   0 26  4       34.8103     181.484
   0 26  5       34.8075     180.878
   0 26  6       34.8077     180.272
   0 26  7       34.8109     179.665
   0 26  8       34.8171     179.058
   0 26  9       34.8264     178.451
   0 26 10       34.8387     177.843
   0 26 11       34.8540     177.236
   0 26 12       34.8723     176.630
   0 26 13       34.8936     176.023
   0 26 14       34.9180     175.417
   0 26 15       34.9453     174.812
   0 26 16       34.9757     174.208
   0 26 17       35.0090     173.605
   0 26 18       35.0453     173.002
   0 26 19       35.0846     172.401
   0 26 20       35.1269     171.801
   0 26 21       35.1721     171.203
   0 26 22       35.2201     170.607
   0 26 23       35.2711     170.012
   0 26 24       35.3250     169.418
   0 26 25       35.3817     168.827
   0 26 26       35.4413     168.238
   0 26 27       35.5037     167.651
   0 26 28       35.5688     167.066
   0 26 29       35.6367     166.484
   0 26 30       35.7073     165.904
   0 26 31       35.7807     165.327
   0 27  0       35.1960     183.868
   0 27  1       35.1817     183.271
   0 27  2       35.1702     182.673
   0 27  3       35.1617     182.074
