      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         5         2         1         1         0.000971533             3.45417
         5         3         1         1           0.0109863             12.7082
         5         3         1         1          0.00596079             11.9467
         5         3         1         1           0.0042045             11.5004
         5         3         1         1          0.00330705             11.1266
         5         3         1         1          0.00275994             10.7826
         5         3         1         1          0.00239038             10.4589
         5         3         1         1          0.00212345             10.1516
         5         3         1         1          0.00192133             9.85792
         5         3         1         1          0.00176279             9.57685
         5         3         1         1          0.00163503             9.30871
         5         3         1         1          0.00152982             9.05138
         5         3         1         1          0.00144164              8.8013
         5         3         1         1          0.00136664             8.56506
         5         3         1         1          0.00130206             8.33399
         5         3         1         1          0.00124587             8.11226
         5         3         1         1          0.00119654             7.89775
         5         3         1         1          0.00115286             7.69143
         5         3         1         1          0.00111394              7.4913
         5         3         1         1          0.00107903             7.29887
         5         3         1         1          0.00104754             7.11101
         6         0         1         1            0.011032             6.84982
         6         0         1         1           0.0062166             6.27854
         6         0         1         1          0.00443627             6.02793
         6         0         1         1          0.00350601             5.88906
         6         0         1         1          0.00293222             5.79552
         6         0         1         1          0.00254182             5.72524
         6         0         1         1          0.00225843             5.66816
         6         0         1         1          0.00204303              5.6194
         6         0         1         1           0.0018736             5.57686
         6         0         1         1          0.00173674             5.53752
         6         0         1         1          0.00162382              5.5026
         6         0         1         1          0.00152902             5.46996
         6         0         1         1          0.00144828             5.43752
         6         0         1         1          0.00137867             5.40769
         6         0         1         1          0.00131803             5.37771
         6         0         1         1          0.00126474              5.3489
         6         0         1         1          0.00121751             5.32128
         6         0         1         1          0.00117538             5.29426
         6         0         1         1          0.00113756             5.26667
         6         0         1         1          0.00110343             5.23876
         6         1         1         1          0.00993603             7.21122
         6         1         1         1          0.00564425             6.58642
         6         1         1         1          0.00403697             6.27679
         6         1         1         1          0.00319829             6.05536
         6         1         1         1           0.0026811             5.86905
         6         1         1         1          0.00232922             5.70223
         6         1         1         1           0.0020738             5.54748
         6         1         1         1           0.0018797             5.40234
         6         1         1         1          0.00172704             5.26373
         6         1         1         1          0.00160374             5.13188
         6         1         1         1          0.00150204             5.00554
         6         1         1         1          0.00141668              4.8828
         6         1         1         1            0.001344             4.76572
         6         1         1         1          0.00128136             4.65186
         6         1         1         1           0.0012268             4.54179
         6         1         1         1          0.00117887             4.43495
         6         1         1         1          0.00113642             4.33096
         6         1         1         1          0.00109856             4.23015
         6         1         1         1          0.00106459             4.13222
         6         1         1         1          0.00103393             4.03685
         6         2         1         1           0.0100276             7.17419
         6         2         1         1          0.00558285             6.68681
         6         2         1         1          0.00396632             6.26533
         6         2         1         1           0.0031331              5.9298
         6         2         1         1          0.00262262             5.65403
         6         2         1         1          0.00227674             5.41961
         6         2         1         1          0.00202638             5.21458
         6         2         1         1          0.00183652             5.03174
         6         2         1         1          0.00168744             4.86523
         6         2         1         1          0.00156719             4.71283
         6         2         1         1          0.00146811             4.57046
         6         2         1         1          0.00138502             4.43855
         6         2         1         1          0.00131434             4.31333
         6         2         1         1          0.00125347              4.1953
         6         2         1         1          0.00120048             4.08257
         6         2         1         1          0.00115395              3.9759
         6         2         1         1          0.00111276             3.87279
         6         2         1         1          0.00107605              3.7747
         6         2         1         1          0.00104312             3.67964
         6         2         1         1          0.00101343             3.58838
         6         3         1         1           0.0105023             6.91386
         6         3         1         1          0.00586563             6.40845
         6         3         1         1          0.00417153             6.13327
         6         3         1         1          0.00329432             5.93637
         6         3         1         1           0.0027557             5.76724
         6         3         1         1          0.00239025             5.61172
         6         3         1         1          0.00212548             5.46443
         6         3         1         1          0.00192453              5.3228
         6         3         1         1          0.00176665             5.18591
         6         3         1         1          0.00163925             5.05471
         6         3         1         1          0.00153421              4.9277
         6         3         1         1           0.0014461             4.80279
         6         3         1         1           0.0013711             4.68342
         6         3         1         1          0.00130648              4.5655
         6         3         1         1          0.00125023             4.45239
         6         3         1         1           0.0012008             4.34175
         6         3         1         1          0.00115704             4.23535
         6         3         1         1          0.00111801             4.13062
         6         3         1         1            0.001083             4.02941
         6         3         1         1          0.00105141             3.93135
         7         0         1         1          0.00950044             7.21399
         7         0         1         1           0.0051373             6.57358
         7         0         1         1           0.0036309             6.12462
         7         0         1         1          0.00286518             5.76525
         7         0         1         1           0.0023994             5.45083
         7         0         1         1           0.0020852             5.16543
         7         0         1         1           0.0018585             4.90316
         7         0         1         1          0.00168698             4.65983
         7         0         1         1          0.00155257             4.43452
         7         0         1         1          0.00144432             4.22311
         7         0         1         1          0.00135526             4.02663
         7         0         1         1          0.00128066             3.84111
         7         0         1         1          0.00121726             3.66746
         7         0         1         1          0.00116273             3.50483
         7         0         1         1          0.00111531             3.35151
         7         0         1         1          0.00107371             3.20691
         7         0         1         1          0.00103692             3.07064
         7         0         1         1          0.00100416             2.94181
         7         0         1         1         0.000974807             2.82018
         7         0         1         1         0.000948361             2.70476
         7         1         1         1           0.0102305             7.67765
         7         1         1         1          0.00569536             6.90675
         7         1         1         1          0.00404493             6.50808
         7         1         1         1          0.00319374             6.24087
         7         1         1         1          0.00267215             6.02427
         7         1         1         1          0.00231869             5.83408
         7         1         1         1          0.00206282             5.65966
         7         1         1         1          0.00186876             5.49699
         7         1         1         1          0.00171638             5.34202
         7         1         1         1          0.00159345             5.19581
         7         1         1         1          0.00149215              5.0555
         7         1         1         1           0.0014072             4.92017
         7         1         1         1          0.00133493              4.7916
         7         1         1         1          0.00127267             4.66619
         7         1         1         1          0.00121848             4.54548
         7         1         1         1          0.00117089             4.42865
         7         1         1         1          0.00112875             4.31566
         7         1         1         1           0.0010912               4.206
         7         1         1         1          0.00105751             4.10032
         7         1         1         1          0.00102712             3.99701
         7         2         1         1           0.0110922             7.46452
         7         2         1         1          0.00636545              6.8361
         7         2         1         1          0.00456993              6.5476
         7         2         1         1          0.00362076             6.38447
         7         2         1         1          0.00303168             6.27573
         7         2         1         1          0.00262934             6.19497
         7         2         1         1          0.00233649             6.13151
         7         2         1         1          0.00211347             6.07867
         7         2         1         1          0.00193778             6.03323
         7         2         1         1          0.00179569             5.99321
         7         2         1         1          0.00167833             5.95697
         7         2         1         1          0.00157972             5.92312
         7         2         1         1          0.00149567             5.89335
         7         2         1         1          0.00142317             5.86535
         7         2         1         1          0.00135997             5.83939
         7         2         1         1          0.00130438             5.81301
         7         2         1         1          0.00125511             5.78836
         7         2         1         1          0.00121112             5.76421
         7         2         1         1          0.00117163             5.74087
         7         2         1         1          0.00113596             5.71742
         7         3         1         1           0.0103378             7.26042
         7         3         1         1           0.0057653             6.67256
         7         3         1         1          0.00409733             6.27203
         7         3         1         1          0.00323551             5.97168
         7         3         1         1          0.00270692             5.71636
         7         3         1         1           0.0023485             5.48715
         7         3         1         1          0.00208895             5.27487
         7         3         1         1          0.00189203             5.07639
         7         3         1         1          0.00173736             4.88806
         7         3         1         1          0.00161257               4.711
         7         3         1         1          0.00150972             4.54167
         7         3         1         1          0.00142346             4.38052
         7         3         1         1          0.00135005             4.22812
         7         3         1         1          0.00128681             4.08095
         7         3         1         1          0.00123175              3.9415
         7         3         1         1          0.00118339             3.80758
         7         3         1         1          0.00114058              3.6797
         7         3         1         1          0.00110241             3.55739
         7         3         1         1          0.00106817             3.43973
