 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    4         2            104            0.5        10.5461       0.105461
    4         2            152            0.5        22.1629       0.221629
    4         2            212            0.5        34.3845       0.343845
    4         2            278            0.5         46.365        0.46365
    4         2            350            0.5        58.5045       0.585045
    4         2            422            0.5        70.0751       0.700751
    4         2            500            0.5        82.1216       0.821216
    4         2            584            0.5        94.6451       0.946451
    4         2            668            0.5        106.849        1.06849
    4         2            752            0.5        118.793        1.18793
    4         2            836            0.5        130.518        1.30518
    4         2            926            0.5        142.872        1.42872
    4         2           1010            0.5        154.236        1.54236
    4         2           1100            0.5        166.255        1.66255
    4         2           1196            0.5         178.92         1.7892
    4         2           1286            0.5        190.665        1.90665
    4         2           1376            0.5        202.303        2.02303
    4         2           1472            0.5        214.611        2.14611
    4         2           1568            0.5        226.826        2.26826
    4         2           1664            0.5        238.958        2.38958
    4         3             98            0.5        10.9261       0.109261
    4         3            138            0.5        20.9851       0.209851
    4         3            188            0.5        31.5289       0.315289
    4         3            243            0.5         41.867        0.41867
    4         3            298            0.5        51.5091       0.515091
    4         3            358            0.5        61.5453       0.615453
    4         3            418            0.5        71.2537       0.712537
    4         3            483            0.5        81.4313       0.814313
    4         3            548            0.5        91.2975       0.912975
    4         3            618            0.5        101.679        1.01679
    4         3            688            0.5        111.836        1.11836
    4         3            758            0.5        121.798        1.21798
    4         3            828            0.5        131.589        1.31589
    4         3            903            0.5        141.911        1.41911
    4         3            973            0.5        151.403        1.51403
    4         3           1048            0.5         161.44         1.6144
    4         3           1123            0.5        171.352        1.71352
    4         3           1203            0.5        181.802        1.81802
    4         3           1278            0.5        191.496        1.91496
    4         3           1358            0.5        201.738        2.01738
    4         3           1438            0.5        211.889        2.11889
    4         3           1518            0.5         221.96         2.2196
    5         0             94            0.5        14.9686       0.149686
    5         0            144            0.5        25.4756       0.254756
    5         0            204            0.5        36.3537       0.363537
    5         0            269            0.5        47.2469       0.472469
    5         0            339            0.5        58.4405       0.584405
    5         0            409            0.5         69.252        0.69252
    5         0            484            0.5         80.494        0.80494
    5         0            559            0.5        91.3734       0.913734
    5         0            639            0.5        102.697        1.02697
    5         0            719            0.5         113.76         1.1376
    5         0            799            0.5        124.596        1.24596
    5         0            884            0.5        135.892        1.35892
    5         0            969            0.5         146.99         1.4699
    5         0           1054            0.5        157.915        1.57915
    5         0           1139            0.5        168.688        1.68688
    5         0           1229            0.5        179.947        1.79947
    5         0           1314            0.5        190.458        1.90458
    5         0           1404            0.5        201.473        2.01473
    5         0           1499            0.5        212.987        2.12987
    5         0           1589            0.5        223.802        2.23802
    5         0           1679            0.5        234.537        2.34537
    5         1             86            0.5        9.75522      0.0975522
    5         1            149            0.5        21.1185       0.211185
    5         1            219            0.5        32.2896       0.322896
    5         1            296            0.5         43.476        0.43476
    5         1            380            0.5        54.7973       0.547973
    5         1            464            0.5         65.474        0.65474
    5         1            555            0.5        76.5103       0.765103
    5         1            653            0.5        87.8551       0.878551
    5         1            751            0.5        98.8337       0.988337
    5         1            849            0.5        109.528        1.09528
    5         1            954            0.5        120.748        1.20748
    5         1           1059            0.5        131.777        1.31777
    5         1           1164            0.5        142.659        1.42659
    5         1           1269            0.5        153.426        1.53426
    5         1           1381            0.5        164.813        1.64813
    5         1           1486            0.5        175.419        1.75419
    5         1           1598            0.5        186.676        1.86676
    5         1           1710            0.5         197.89         1.9789
    5         1           1815            0.5        208.378        2.08378
    5         1           1927            0.5        219.547        2.19547
    5         1           2039            0.5        230.707        2.30707
    5         2             79            0.5        13.2692       0.132692
    5         2            133            0.5        23.9525       0.239525
    5         2            193            0.5        33.5725       0.335725
    5         2            265            0.5        43.9962       0.439962
    5         2            337            0.5        53.8986       0.538986
    5         2            409            0.5        63.5055       0.635055
    5         2            487            0.5        73.6627       0.736627
    5         2            565            0.5        83.5435       0.835435
    5         2            649            0.5         93.914        0.93914
    5         2            727            0.5        103.335        1.03335
    5         2            817            0.5         113.98         1.1398
    5         2            901            0.5        123.718        1.23718
    5         2            991            0.5         133.96         1.3396
    5         2           1075            0.5        143.359        1.43359
    5         2           1171            0.5         153.93         1.5393
    5         2           1261            0.5        163.691        1.63691
    5         2           1357            0.5        173.961        1.73961
    5         2           1447            0.5        183.469        1.83469
    5         2           1543            0.5        193.496        1.93496
    5         2           1639            0.5        203.418        2.03418
    5         2           1741            0.5        213.855        2.13855
    5         3             99            0.5        13.3607       0.133607
    5         3            171            0.5        22.9142       0.229142
    5         3            252            0.5        31.4654       0.314654
    5         3            351            0.5        40.8381       0.408381
    5         3            450            0.5        49.7007       0.497007
    5         3            549            0.5         58.262        0.58262
    5         3            657            0.5        67.3335       0.673335
    5         3            774            0.5        76.8921       0.768921
    5         3            882            0.5        85.4292       0.854292
    5         3            999            0.5        94.4554       0.944554
    5         3           1125            0.5        103.939        1.03939
    5         3           1242            0.5        112.555        1.12555
    5         3           1368            0.5        121.651        1.21651
    5         3           1494            0.5        130.579        1.30579
    5         3           1629            0.5        139.982        1.39982
    5         3           1755            0.5        148.623        1.48623
    5         3           1890            0.5        157.754        1.57754
    5         3           2025            0.5        166.768        1.66768
    5         3           2160            0.5        175.679        1.75679
    5         3           2295            0.5        184.499        1.84499
    5         3           2439            0.5        193.818        1.93818
    5         3           2574            0.5        202.481        2.02481
    6         0             70            0.5        13.8914       0.138914
    6         0            115            0.5        25.5479       0.255479
    6         0            170            0.5        36.9763       0.369763
    6         0            230            0.5        47.9825       0.479825
    6         0            290            0.5        58.2268       0.582268
    6         0            360            0.5        69.6013       0.696013
    6         0            430            0.5         80.512        0.80512
    6         0            505            0.5        91.7427       0.917427
    6         0            580            0.5        102.645        1.02645
    6         0            660            0.5        113.968        1.13968
    6         0            735            0.5        124.341        1.24341
    6         0            820            0.5        135.858        1.35858
    6         0            900            0.5        146.498        1.46498
    6         0            985            0.5        157.622        1.57622
    6         0           1070            0.5        168.585        1.68585
    6         0           1155            0.5        179.411        1.79411
    6         0           1245            0.5        190.743        1.90743
    6         0           1335            0.5        201.961        2.01961
    6         0           1420            0.5        212.466        2.12466
    6         0           1510            0.5        223.507        2.23507
    6         0           1600            0.5        234.476        2.34476
    6         1             77            0.5        14.7974       0.147974
    6         1            131            0.5        26.5863       0.265863
    6         1            191            0.5        37.3831       0.373831
    6         1            257            0.5         48.311        0.48311
    6         1            329            0.5        59.7448       0.597448
    6         1            401            0.5        70.8536       0.708536
    6         1            473            0.5        81.6938       0.816938
    6         1            545            0.5         92.254        0.92254
    6         1            623            0.5        103.465        1.03465
    6         1            701            0.5        114.457        1.14457
    6         1            779            0.5        125.255        1.25255
    6         1            863            0.5         136.69         1.3669
    6         1            947            0.5        147.948        1.47948
    6         1           1025            0.5        158.261        1.58261
    6         1           1109            0.5        169.232        1.69232
    6         1           1199            0.5        180.851        1.80851
    6         1           1283            0.5        191.583        1.91583
    6         1           1373            0.5        202.975        2.02975
    6         1           1457            0.5        213.522        2.13522
    6         1           1547            0.5         224.74         2.2474
    6         1           1637            0.5        235.885        2.35885
    6         1           1727            0.5        246.966        2.46966
    6         2             86            0.5        14.9079       0.149079
    6         2            126            0.5        23.5949       0.235949
    6         2            171            0.5        32.7852       0.327852
    6         2            216            0.5        41.2221       0.412221
    6         2            271            0.5        50.7312       0.507312
    6         2            326            0.5        59.5951       0.595951
    6         2            386            0.5        68.6947       0.686947
    6         2            446            0.5        77.3683       0.773683
    6         2            511            0.5        86.3248       0.863248
    6         2            581            0.5        95.6401       0.956401
    6         2            651            0.5        104.684        1.04684
    6         2            721            0.5        113.523        1.13523
    6         2            796            0.5        122.816        1.22816
    6         2            871            0.5         131.97         1.3197
    6         2            941            0.5        140.415        1.40415
    6         2           1021            0.5        149.978        1.49978
    6         2           1096            0.5        158.879        1.58879
    6         2           1171            0.5        167.735        1.67735
    6         2           1246            0.5        176.559        1.76559
    6         2           1326            0.5        185.948        1.85948
    6         2           1401            0.5        194.738        1.94738
    6         3             87            0.5        13.5894       0.135894
    6         3            127            0.5        24.0206       0.240206
    6         3            177            0.5        34.5053       0.345053
    6         3            232            0.5        44.4808       0.444808
    6         3            292            0.5        54.4999       0.544999
    6         3            357            0.5        64.8384       0.648384
    6         3            422            0.5        74.8671       0.748671
    6         3            487            0.5        84.6336       0.846336
    6         3            557            0.5        94.9425       0.949425
    6         3            622            0.5        104.357        1.04357
    6         3            692            0.5        114.349        1.14349
    6         3            767            0.5        124.901        1.24901
    6         3            837            0.5        134.621        1.34621
    6         3            912            0.5        144.909        1.44909
    6         3            982            0.5        154.404        1.54404
    6         3           1057            0.5        164.472        1.64472
    6         3           1132            0.5        174.441        1.74441
    6         3           1212            0.5        184.976        1.84976
    6         3           1287            0.5        194.768        1.94768
    6         3           1362            0.5        204.486        2.04486
    6         3           1442            0.5         214.78         2.1478
    7         0             97            0.5        11.2883       0.112883
    7         0            137            0.5        20.4592       0.204592
    7         0            182            0.5        29.2238       0.292238
    7         0            232            0.5        38.2777       0.382777
    7         0            287            0.5        47.7411       0.477411
    7         0            342            0.5        56.8266       0.568266
    7         0            397            0.5        65.6237       0.656237
    7         0            457            0.5        74.9284       0.749284
    7         0            517            0.5        83.9299       0.839299
    7         0            577            0.5        92.6942       0.926942
    7         0            642            0.5        101.973        1.01973
    7         0            702            0.5        110.364        1.10364
    7         0            772            0.5        119.973        1.19973
    7         0            837            0.5        128.742        1.28742
    7         0            902            0.5        137.382        1.37382
    7         0            972            0.5        146.559        1.46559
    7         0           1042            0.5        155.619        1.55619
    7         0           1112            0.5        164.577        1.64577
    7         0           1182            0.5        173.442        1.73442
    7         0           1257            0.5         182.85         1.8285
