 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1      1404       0.5        1.33402      0.0133402           247.02         2.4702        1.13939      0.0113939
    5    0    1    1      1409       0.5        1.33937      0.0133937          248.166        2.48166        1.13632      0.0113632
    5    0    1    1      1414       0.5        1.34474      0.0134474          249.315        2.49315        1.13327      0.0113327
    5    0    1    1      1419       0.5        1.35013      0.0135013          250.466        2.50466        1.13024      0.0113024
    5    0    1    1      1424       0.5        1.35554      0.0135554          251.619        2.51619        1.12723      0.0112723
    5    0    1    1      1429       0.5        1.36096      0.0136096          252.774        2.52774        1.12425      0.0112425
    5    0    1    1      1434       0.5        1.36639      0.0136639          253.931        2.53931        1.12128      0.0112128
    5    0    1    1      1439       0.5        1.37183      0.0137183          255.091        2.55091        1.11834      0.0111834
    5    0    1    1      1444       0.5        1.37726      0.0137726          256.252        2.56252        1.11541      0.0111541
    5    0    1    1      1449       0.5        1.38269      0.0138269          257.416        2.57416        1.11251      0.0111251
    5    0    1    2        84       0.5      0.0149278    0.000149278          3.37909      0.0337909        18.0712       0.180712
    5    0    1    2        89       0.5      0.0199709    0.000199709          4.03323      0.0403323        17.6081       0.176081
    5    0    1    2        94       0.5      0.0250537    0.000250537          4.67988      0.0467988        17.1688       0.171688
    5    0    1    2        99       0.5      0.0301564    0.000301564          5.32285      0.0532285        16.7497       0.167497
    5    0    1    2       104       0.5      0.0352464    0.000352464           5.9649       0.059649        16.3479       0.163479
    5    0    1    2       109       0.5      0.0402838    0.000402838          6.60805      0.0660805        15.9615       0.159615
    5    0    1    2       114       0.5      0.0453225    0.000453225          7.25377      0.0725377         15.589        0.15589
    5    0    1    2       119       0.5      0.0504392    0.000504392          7.90316      0.0790316        15.2293       0.152293
    5    0    1    2       124       0.5      0.0554669    0.000554669          8.55696      0.0855696        14.8816       0.148816
    5    0    1    2       129       0.5      0.0603461    0.000603461          9.21571      0.0921571        14.5452       0.145452
    5    0    1    2       134       0.5      0.0656076    0.000656076          9.87974      0.0987974        14.2196       0.142196
    5    0    1    2       139       0.5      0.0712965    0.000712965          10.5492       0.105492        13.9045       0.139045
    5    0    1    2       144       0.5      0.0765171    0.000765171          11.2242       0.112242        13.5993       0.135993
    5    0    1    2       149       0.5      0.0812893    0.000812893          11.9046       0.119046        13.3038       0.133038
    5    0    1    2       154       0.5      0.0861639    0.000861639          12.5904       0.125904        13.0177       0.130177
    5    0    1    2       159       0.5      0.0911461    0.000911461          13.2813       0.132813        12.7407       0.127407
    5    0    1    2       164       0.5      0.0960769    0.000960769          13.9773       0.139773        12.4726       0.124726
    5    0    1    2       169       0.5       0.100982     0.00100982          14.6782       0.146782         12.213        0.12213
    5    0    1    2       174       0.5       0.105909     0.00105909          15.3837       0.153837        11.9617       0.119617
    5    0    1    2       179       0.5       0.110859     0.00110859          16.0938       0.160938        11.7185       0.117185
