      *tel    numcsi         Z         A               AZ2/E               Leff
         6         1         1         1          0.00976257          0.00706558
         6         1         1         1          0.00885952           0.0069174
         6         1         1         1          0.00810939          0.00677179
         6         1         1         1          0.00747638          0.00662838
         6         1         1         1          0.00693503          0.00648832
         6         1         1         1          0.00646679          0.00635424
         6         1         1         1          0.00605777          0.00623027
         6         1         1         1          0.00569742          0.00612201
         6         1         1         1          0.00537753          0.00603657
         6         1         1         1          0.00509166          0.00598256
         6         1         1         1          0.00483464          0.00597007
         6         2         1         1            0.120331          0.00914925
         6         2         1         1           0.0529607          0.00857639
         6         2         1         1           0.0339519          0.00810137
         6         2         1         1           0.0249844          0.00770694
         6         2         1         1           0.0197642          0.00737765
         6         2         1         1           0.0163484           0.0070998
         6         2         1         1           0.0139393          0.00686147
         6         2         1         1            0.012149          0.00665253
         6         2         1         1           0.0107663          0.00646461
         6         2         1         1          0.00966613          0.00629111
         6         2         1         1          0.00876996          0.00612721
         6         2         1         1          0.00802587          0.00596986
         6         2         1         1          0.00739817           0.0058178
         6         2         1         1          0.00686153          0.00567152
         6         2         1         1          0.00639748          0.00553331
         6         2         1         1          0.00599222           0.0054072
         6         2         1         1          0.00563524          0.00529903
         6         2         1         1          0.00531841          0.00521638
         6         2         1         1           0.0050353          0.00516864
         6         2         1         1          0.00478082          0.00516694
         6         3         1         1            0.128513          0.00891835
         6         3         1         1           0.0563852          0.00847227
         6         3         1         1           0.0361154          0.00811456
         6         3         1         1           0.0265655          0.00782732
         6         3         1         1           0.0210099          0.00759459
         6         3         1         1           0.0173761          0.00740236
         6         3         1         1           0.0148139          0.00723859
         6         3         1         1           0.0129102          0.00709313
         6         3         1         1           0.0114401          0.00695784
         6         3         1         1           0.0102705          0.00682648
         6         3         1         1          0.00931796          0.00669477
         6         3         1         1          0.00852708          0.00656038
         6         3         1         1          0.00785995          0.00642292
         6         3         1         1          0.00728963          0.00628396
         6         3         1         1          0.00679648          0.00614699
         6         3         1         1          0.00636583          0.00601747
         6         3         1         1           0.0059865          0.00590279
         6         3         1         1          0.00564983           0.0058123
         6         3         1         1          0.00534902          0.00575729
         6         3         1         1          0.00507861          0.00575099
         7         0         1         1            0.112408          0.00940792
         7         0         1         1            0.048813          0.00882247
         7         0         1         1           0.0311754          0.00831925
         7         0         1         1           0.0229007          0.00788448
         7         0         1         1           0.0180973          0.00750579
         7         0         1         1           0.0149595           0.0071722
         7         0         1         1            0.012749          0.00687414
         7         0         1         1           0.0111077          0.00660343
         7         0         1         1           0.0098408           0.0063533
         7         0         1         1           0.0088333          0.00611835
         7         0         1         1          0.00801294          0.00589463
         7         0         1         1          0.00733201          0.00567953
         7         0         1         1          0.00675774          0.00547187
         7         0         1         1          0.00626689          0.00527188
         7         0         1         1          0.00584252          0.00508117
         7         0         1         1          0.00547198          0.00490274
         7         0         1         1          0.00514564          0.00474101
         7         0         1         1          0.00485603           0.0046018
         7         0         1         1          0.00459728           0.0044923
         7         0         1         1          0.00436472          0.00442113
         7         1         1         1            0.122598          0.00976965
         7         1         1         1           0.0534718          0.00913306
         7         1         1         1           0.0341926          0.00863084
         7         1         1         1           0.0251314          0.00823645
         7         1         1         1           0.0198667          0.00792615
         7         1         1         1           0.0164257          0.00767907
         7         1         1         1           0.0140007          0.00747718
         7         1         1         1           0.0121997          0.00730527
         7         1         1         1           0.0108092          0.00715099
         7         1         1         1          0.00970319          0.00700481
         7         1         1         1          0.00880254          0.00686006
         7         1         1         1          0.00805489           0.0067129
         7         1         1         1           0.0074243          0.00656234
         7         1         1         1          0.00688527          0.00641021
         7         1         1         1          0.00641922           0.0062612
         7         1         1         1          0.00601226          0.00612283
         7         1         1         1          0.00565382          0.00600547
         7         1         1         1          0.00533572          0.00592231
         7         1         1         1           0.0050515           0.0058894
         7         1         1         1          0.00479603          0.00592562
         7         2         1         1            0.134482          0.00932921
         7         2         1         1           0.0605261          0.00884853
         7         2         1         1           0.0390508          0.00849163
         7         2         1         1           0.0288238           0.0082336
         7         2         1         1           0.0228418          0.00805222
         7         2         1         1            0.018916          0.00792797
         7         2         1         1           0.0161418            0.007844
