 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    8         3         1         3       0.552632              0        85.6627              0
    8         3         1         3       0.612913              0        95.5513              0
    9         0         1         3      0.0264696              0        5.49123              0
    9         0         1         3      0.0986581              0        15.7942              0
    9         0         1         3       0.166819              0        25.7072              0
    9         0         1         3       0.227979              0        35.6616              0
    9         0         1         3       0.291238              0        45.5994              0
    9         0         1         3       0.354047              0        55.6008              0
    9         0         1         3       0.416568              0        65.6869              0
    9         0         1         3       0.479065              0        75.8739              0
    9         0         1         3        0.53864              0        85.6001              0
    9         0         1         3       0.598131              0        95.4372              0
    9         1         1         3      0.0415988              0        5.83517              0
    9         1         1         3       0.104027              0        15.7949              0
    9         1         1         3       0.162986              0        25.4314              0
    9         1         1         3       0.225615              0        35.7087              0
    9         1         1         3       0.286366              0        45.4388              0
    9         1         1         3       0.348849              0        55.8529              0
    9         1         1         3       0.408837              0        65.8044              0
    9         1         1         3       0.468916              0        75.8698              0
    9         1         1         3       0.525486              0        85.4453              0
    9         1         1         3       0.585795              0        95.7235              0
    9         2         1         3      0.0368158              0        5.70843              0
    9         2         1         3         0.1051              0        15.6794              0
    9         2         1         3       0.173074              0        25.8235              0
    9         2         1         3       0.238195              0        35.9896              0
    9         2         1         3       0.300859              0        45.6188              0
    9         2         1         3       0.367016              0        55.8726              0
    9         2         1         3       0.429696              0        65.6912              0
    9         2         1         3       0.491483              0        75.6213              0
    9         2         1         3        0.55428              0        85.6688              0
    9         2         1         3       0.616971              0        95.8362              0
    9         3         1         3      0.0437676              0        5.93535              0
    9         3         1         3       0.113858              0        15.9467              0
    9         3         1         3       0.180784              0        25.5108              0
    9         3         1         3       0.250843              0        35.6551              0
    9         3         1         3        0.32025              0        45.7837              0
    9         3         1         3       0.391142              0        55.9926              0
    9         3         1         3       0.457631              0        65.7284              0
    9         3         1         3       0.523605              0        75.5654              0
    9         3         1         3       0.590592              0        85.5101              0
    9         3         1         3       0.657132              0        95.5656              0
   10         0         1         3      0.0461511              0        5.51497              0
   10         0         1         3       0.114556              0        15.6851              0
   10         0         1         3       0.179885              0        25.5378              0
   10         0         1         3        0.24865              0        35.9395              0
   10         0         1         3        0.31387              0        45.6259              0
   10         0         1         3       0.383462              0        55.9247              0
   10         0         1         3       0.448812              0        65.6596              0
   10         0         1         3       0.514531              0        75.4569              0
   10         0         1         3       0.583443              0        85.9511              0
   10         0         1         3        0.64884              0        95.9177              0
   10         1         1         3      0.0484157              0        5.85651              0
   10         1         1         3       0.119858              0        15.6437              0
   10         1         1         3       0.192236              0        25.7743              0
   10         1         1         3       0.265359              0        35.9716              0
   10         1         1         3       0.333931              0        45.6595              0
   10         1         1         3       0.407161              0        55.9378              0
   10         1         1         3        0.47676              0        65.7901              0
   10         1         1         3       0.546422              0        75.7326              0
   10         1         1         3       0.615192              0         85.767              0
   10         1         1         3       0.684983              0        95.8921              0
   10         2         1         3       0.032224              0        5.64213              0
   10         2         1         3       0.121669              0        15.8666              0
   10         2         1         3       0.199285              0        25.6172              0
   10         2         1         3       0.278176              0        35.9907              0
   10         2         1         3       0.352715              0         45.818              0
   10         2         1         3       0.427366              0        55.7558              0
   10         2         1         3       0.500984              0        65.8112              0
   10         2         1         3       0.575849              0        75.9829              0
   10         2         1         3         0.6462              0         85.659              0
   10         2         1         3        0.71654              0        95.4302              0
   10         3         1         3      0.0473849              0        5.66947              0
   10         3         1         3       0.116539              0         15.858              0
   10         3         1         3       0.182444              0        25.9213              0
   10         3         1         3       0.246538              0        35.4529              0
   10         3         1         3       0.313009              0        45.4979              0
   10         3         1         3       0.380839              0        55.5845              0
   10         3         1         3       0.448392              0        65.7387              0
   10         3         1         3       0.515295              0        75.9781              0
   10         3         1         3         0.5793              0        85.7385              0
   10         3         1         3       0.643155              0        95.5936              0
   11         0         1         3      0.0476603              0        5.75967              0
   11         0         1         3       0.110348              0         15.582              0
   11         0         1         3       0.173197              0        25.5083              0
   11         0         1         3       0.240425              0        35.9339              0
   11         0         1         3       0.305342              0        45.7431              0
   11         0         1         3       0.370264              0        55.5906              0
   11         0         1         3       0.434278              0        65.5043              0
   11         0         1         3       0.499144              0        75.4998              0
   11         0         1         3         0.5641              0        85.5867              0
   11         0         1         3       0.629014              0          95.77              0
   11         1         1         3      0.0478846              0        5.75656              0
   11         1         1         3       0.116762              0        15.9301              0
   11         1         1         3       0.179941              0        25.7612              0
   11         1         1         3       0.244582              0        35.6792              0
   11         1         1         3       0.308849              0        45.5812              0
   11         1         1         3       0.376803              0        55.9862              0
   11         1         1         3       0.441443              0        65.9976              0
   11         1         1         3       0.502789              0        75.6103              0
   11         1         1         3       0.567955              0        85.7408              0
   11         1         1         3       0.632668              0        95.9315              0
   11         2         1         3      0.0453152              0         5.9439              0
   11         2         1         3       0.112283              0        15.9285              0
   11         2         1         3        0.17623              0        25.5909              0
   11         2         1         3        0.24409              0        35.7356              0
   11         2         1         3       0.311707              0        45.8159              0
   11         2         1         3       0.379126              0         55.915              0
   11         2         1         3       0.444056              0        65.5677              0
   11         2         1         3       0.512386              0        75.7517              0
   11         2         1         3       0.580448              0        85.9963              0
   11         2         1         3       0.645253              0        95.8165              0
   11         3         1         3      0.0431297              0        5.82668              0
   11         3         1         3       0.110812              0         15.608              0
   11         3         1         3       0.179625              0         25.506              0
   11         3         1         3       0.248217              0        35.5773              0
   11         3         1         3       0.317056              0        45.7211              0
   11         3         1         3       0.385923              0        55.9724              0
   11         3         1         3       0.451759              0        65.7649              0
   11         3         1         3       0.517738              0        75.6215              0
   11         3         1         3       0.582705              0        85.5319              0
   11         3         1         3       0.648451              0        95.4874              0
