 *tel    csi      Z      A                          Fit Formula                                           Par0        Par1       Par2
    3      3      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00497709  0.00819798    0.212631
    3      3      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00497709  0.00819798    0.212631
    3      3      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00497709  0.00819798    0.212631
    3      3      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00497709  0.00819798    0.212631
    3      3      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00497709  0.00819798    0.212631
    4      0      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00556845     148.703      129.32
    4      0      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00556845     148.703      129.32
    4      0      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00556845     148.703      129.32
    4      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00227773  0.00762029    0.220706
    4      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00227773  0.00762029    0.220706
