 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    1      0      2      3     63.6062  0.000912994    0.447323     0.44641
    1      0      2      3      74.649  -0.00302965    0.530486    0.533516
    1      0      2      3     85.7698  -0.00983859    0.611827    0.621666
    1      0      2      3     96.9628  -0.0163442    0.694375    0.710719
    1      0      2      3      107.42    -0.02359    0.770566    0.794156
    1      0      2      3     118.753  -0.0326924    0.852098     0.88479
    1      0      2      3     129.345  -0.0397231    0.929939    0.969662
    1      0      2      3      140.83  -0.0490888     1.01275     1.06184
    1      0      2      3     151.572  -0.0577224     1.09045     1.14817
    1      0      2      3     162.393  -0.0646219     1.17062     1.23524
    1      0      2      3     173.297  -0.0722688      1.2508     1.32307
    1      0      2      3     184.288  -0.0793266     1.33235     1.41168
    1      0      2      3      195.37    -0.08428     1.41681     1.50109
    1      0      2      3     206.547  -0.0904251     1.50091     1.59134
    1      0      2      3     217.825  -0.0963654     1.58609     1.68246
    1      0      2      3     228.326   -0.101866     1.66548     1.76735
    1      0      2      3     239.806    -0.10751     1.75269      1.8602
    1      0      2      4     7.83433  0.00160084   0.0262005   0.0245997
    1      0      2      4      22.156  0.00768134    0.126797    0.119116
    1      0      2      4     36.1547  0.00970502    0.231287    0.221582
    1      0      2      4     50.1963  0.00845428    0.336504     0.32805
    1      0      2      4     64.3221  0.00436431    0.441486    0.437122
    1      0      2      4     78.5012  0.000116138    0.547947    0.547831
    1      0      2      4     92.7093  -0.00614473    0.653458    0.659603
    1      0      2      4     106.941  -0.0134811    0.758686    0.772167
    1      0      2      4     120.249  -0.0209804    0.856863    0.877843
    1      0      2      4     134.542  -0.0279181    0.963777    0.991695
    1      0      2      4     148.881  -0.0349103      1.0713     1.10621
    1      0      2      4     162.316   -0.039418     1.17431     1.21373
    1      0      2      4     176.777  -0.0435276     1.28613     1.32966
    1      0      2      4     190.345  -0.0452097     1.39338     1.43859
    1      0      2      4     204.966  -0.0459361     1.51019     1.55613
    1      0      2      4     218.701  -0.0458135     1.62085     1.66666
    1      0      2      4     232.527  -0.0452692     1.73277     1.77804
    1      0      2      4     246.451  -0.0441095     1.84619      1.8903
    1      0      2      4      260.48  -0.0438025     1.95969     2.00349
    1      0      2      4      274.62  -0.0441094     2.07355     2.11766
    1      0      2      4     288.876  -0.0450647     2.18777     2.23283
    1      0      2      6     9.52949  0.00346547   0.0312539   0.0277884
    1      0      2      6     21.4452  0.00851055    0.109153    0.100642
    1      0      2      6     33.5879   0.0116252    0.196034    0.184409
    1      0      2      6     45.7023   0.0116847    0.283927    0.272242
    1      0      2      6     57.9188   0.0087102    0.371965    0.363255
    1      0      2      6     69.2253  0.00429053    0.453195    0.448904
    1      0      2      6     81.2956  0.000764411    0.542161    0.541397
    1      0      2      6     93.3068  -0.00453291    0.629708    0.634241
    1      0      2      6     105.257  -0.00971142    0.717515    0.727226
    1      0      2      6     117.942  -0.0151498    0.811308    0.826458
    1      0      2      6     129.782   -0.019346    0.900131    0.919477
    1      0      2      6      141.58  -0.0239166    0.988566     1.01248
    1      0      2      6     153.344  -0.0270357     1.07845     1.10549
    1      0      2      6     165.865  -0.0279522     1.17677     1.20472
    1      0      2      6     177.584  -0.0279733     1.26983      1.2978
    1      0      2      6     189.293  -0.0263741      1.3646     1.39097
    1      0      2      6     201.777  -0.0224958     1.46798     1.49048
    1      0      2      6     213.483   -0.017723     1.56619     1.58391
    1      0      2      6     225.979  -0.0116459     1.67214     1.68379
    1      0      2      6     237.708  -0.0049484     1.77269     1.77764
    1      0      2      6     249.455  0.00262893     1.87436     1.87173
